round,difficulty,mining_time
0,4294967296.0,0
1,4294967296.0,0
2,4292870144.0,28812
3,4294966272.0,3952
4,4297063423.0,2547
5,4299161598.0,8556
6,4297062399.0,25531
7,4280277007.0,91353
8,4278187028.0,28236
9,4278187028.0,14055
10,4280275986.0,9734
11,4274006052.0,45240
12,4274006052.0,12192
13,4271919135.0,20236
14,4271919135.0,15701
15,4255231951.0,94977
16,4251076453.0,34082
17,4246925013.0,33159
18,4248998706.0,1767
19,4242774588.0,48354
20,4234487920.0,52139
21,4230352678.0,33813
22,4230352678.0,13837
23,4220024673.0,62381
24,4220024673.0,19492
25,4222085231.0,5349
26,4222085231.0,17490
27,4224146796.0,6286
28,4226209367.0,4554
29,4222082211.0,32957
30,4220020648.0,26828
31,4217960092.0,22385
32,4213840992.0,36250
33,4215898531.0,4361
34,4205605811.0,64036
35,4199445257.0,47703
36,4201495767.0,3769
37,4203547278.0,3711
38,4187127174.0,91289
39,4172815709.0,81049
40,4170778202.0,21236
41,4168741690.0,22297
42,4160599618.0,59371
43,4138252656.0,122718
44,4118046346.0,111362
45,4114024818.0,30125
46,4107998415.0,48569
47,4095963267.0,70755
48,4091963303.0,35956
49,4091963303.0,10045
50,4083971191.0,55227
51,4074000561.0,60091
52,4062065013.0,76418
53,4062065013.0,12771
54,4060081583.0,21667
55,4062064044.0,550
56,4062064044.0,11199
57,4062064044.0,13907
58,4058097186.0,37425
59,4060078678.0,200
60,4062061138.0,7395
61,4046193714.0,90583
62,4046193714.0,11466
63,4044218034.0,22542
64,4046192749.0,7504
65,4038290029.0,53664
66,4030402745.0,57813
67,4026466805.0,38632
68,4026466805.0,16764
69,4016636565.0,64782
70,4016636565.0,19639
71,4014675317.0,25918
72,4014675317.0,13728
73,4012715027.0,22154
74,4014674360.0,3366
75,3987230300.0,158175
76,3985283411.0,29208
77,3969715899.0,93139
78,3971654236.0,5859
79,3971654236.0,18811
80,3973593520.0,8882
81,3958071672.0,94543
82,3956139020.0,23744
83,3956139020.0,19560
84,3958070728.0,1461
85,3958070728.0,17942
86,3952272775.0,47186
87,3952272775.0,13461
88,3942623675.0,61260
89,3940698566.0,22439
90,3942622735.0,649
91,3942622735.0,19019
92,3944547843.0,1444
93,3944547843.0,15228
94,3946473891.0,3389
95,3948400880.0,1799
96,3944545020.0,30655
97,3946471067.0,9994
98,3944544080.0,22415
99,3931061758.0,81296
100,3898430887.0,189715
101,3894623827.0,30737
102,3896525498.0,5540
103,3896525498.0,16708
104,3892720298.0,32405
105,3883216588.0,61718
106,3885112689.0,725
107,3885112689.0,19692
108,3887009716.0,3392
109,3888907669.0,4788
110,3887008789.0,23004
111,3881314930.0,46185
112,3881314930.0,17123
113,3883210103.0,6518
114,3885106201.0,4211
115,3885106201.0,12044
116,3883209177.0,21245
117,3881313079.0,25916
118,3879417907.0,29904
119,3879417907.0,16453
120,3873735166.0,47029
121,3869952222.0,30724
122,3868062597.0,27590
123,3851064279.0,107902
124,3851064279.0,18793
125,3852944681.0,858
126,3851063361.0,26461
127,3847302557.0,32330
128,3847302557.0,10517
129,3847302557.0,17503
130,3849181122.0,3037
131,3843542676.0,42780
132,3841665947.0,27473
133,3836038508.0,40107
134,3834165443.0,27587
135,3834165443.0,15620
136,3836037594.0,4727
137,3830418399.0,40358
138,3826677757.0,35472
139,3817335287.0,60408
140,3819199220.0,2087
141,3815469534.0,34261
142,3800565358.0,94526
143,3802421102.0,3009
144,3802421102.0,16763
145,3800564452.0,29066
146,3798708708.0,23380
147,3794999032.0,31617
148,3796852058.0,8428
149,3787582403.0,68042
150,3787582403.0,12044
151,3789431808.0,742
152,3791282116.0,8773
153,3791282116.0,17535
154,3793133327.0,2253
155,3794985442.0,3873
156,3789426382.0,49009
157,3791276687.0,726
158,3787574269.0,35905
159,3789423670.0,5425
160,3785723062.0,35503
161,3780177571.0,46340
162,3782023360.0,6082
163,3780176669.0,21729
164,3782022458.0,5812
165,3774635698.0,54612
166,3776478781.0,8457
167,3770946832.0,43142
168,3770946832.0,10375
169,3767264268.0,34517
170,3767264268.0,15539
171,3767264268.0,15996
172,3767264268.0,13578
173,3767264268.0,10072
174,3769103752.0,8896
175,3769103752.0,14391
176,3769103752.0,12507
177,3767263370.0,27418
178,3767263370.0,14865
179,3756226466.0,71061
180,3752558278.0,38752
181,3748893672.0,35097
182,3748893672.0,13131
183,3750724186.0,9390
184,3748892778.0,24967
185,3748892778.0,17161
186,3750723292.0,398
187,3750723292.0,14235
188,3730577815.0,126117
189,3732399386.0,7479
190,3734221846.0,8714
191,3734221846.0,18860
192,3725105096.0,61058
193,3723286198.0,26390
194,3725104208.0,3633
195,3726923106.0,239
196,3723283534.0,30188
197,3721465525.0,21067
198,3717831283.0,36721
199,3719646630.0,6553
200,3714197931.0,44610
201,3716011504.0,9129
202,3712382588.0,35344
203,3705131844.0,53916
204,3701513552.0,37926
205,3701513552.0,19820
206,3699706173.0,23817
207,3697899676.0,23219
208,3697899676.0,13416
209,3697899676.0,18332
210,3692482831.0,45983
211,3692482831.0,14162
212,3692482831.0,13820
213,3676256101.0,108310
214,3667280871.0,68703
215,3663699543.0,32244
216,3631499073.0,190355
217,3633272265.0,2440
218,3635046323.0,951
219,3633271399.0,29651
220,3629723283.0,34513
221,3629723283.0,10745
222,3631495608.0,7569
223,3627949226.0,38962
224,3622634849.0,43404
225,3622634849.0,11389
226,3620865985.0,25440
227,3620865985.0,18200
228,3604953985.0,102787
229,3597913061.0,53596
230,3596156268.0,28787
231,3597912203.0,2520
232,3599668996.0,5929
233,3597911346.0,27015
234,3599668138.0,9470
235,3592637538.0,54180
236,3576849585.0,109399
237,3576849585.0,15453
238,3571610061.0,48282
239,3571610061.0,17836
240,3568122161.0,35013
241,3561153173.0,53671
242,3562892017.0,3548
243,3559412631.0,33666
244,3557674637.0,21021
245,3543777477.0,97397
246,3545507837.0,8413
247,3540314225.0,46398
248,3538585556.0,29090
249,3538585556.0,17198
250,3538585556.0,19015
251,3533402084.0,47634
252,3531676791.0,25545
253,3531676791.0,17262
254,3533401242.0,8710
255,3535126535.0,4420
256,3536852671.0,7440
257,3521309869.0,103500
258,3517871091.0,32854
259,3514435671.0,31691
260,3511003605.0,30921
261,3509289248.0,24601
262,3505862208.0,39338
263,3500726670.0,41585
264,3499017331.0,26938
265,3488766307.0,73559
266,3490469806.0,6072
267,3492174136.0,1148
268,3488763810.0,38843
269,3488763810.0,15719
270,3485356816.0,32116
271,3485356816.0,17913
272,3487058650.0,7334
273,3487058650.0,16072
274,3483653320.0,34833
275,3485354322.0,3208
276,3487056155.0,127
277,3483650827.0,34535
278,3481949826.0,26565
279,3483649996.0,2306
280,3481948996.0,24476
281,3473448146.0,61610
282,3475144165.0,7830
283,3475144165.0,13049
284,3475144165.0,19448
285,3476841012.0,6609
286,3478538688.0,1104
287,3480237193.0,5613
288,3481936527.0,9946
289,3480236363.0,29737
290,3478537029.0,23694
291,3478537029.0,14191
292,3476838525.0,23833
293,3468350150.0,66835
294,3470043680.0,837
295,3466654966.0,32457
296,3463269562.0,30708
297,3461578513.0,22365
298,3459888290.0,20191
299,3458198892.0,29163
300,3456510319.0,26944
301,3458198068.0,7636
302,3446378057.0,89892
303,3448060858.0,449
304,3449744481.0,2622
305,3446375591.0,33640
306,3441327191.0,41070
307,3434605851.0,57552
308,3432928798.0,25574
309,3432928798.0,14626
310,3434605032.0,5868
311,3432927979.0,20586
312,3421194341.0,85100
313,3422864846.0,2423
314,3417850886.0,48790
315,3412844270.0,49910
316,3406178562.0,52794
317,3402852216.0,38372
318,3396206024.0,54428
319,3397864327.0,5664
320,3392886988.0,47277
321,3381290207.0,81054
322,3381290207.0,19536
323,3379639187.0,28990
324,3381289401.0,1067
325,3382940421.0,5880
326,3382940421.0,14351
327,3381288595.0,22281
328,3377986557.0,34866
329,3379635964.0,3580
330,3381286176.0,305
331,3376333122.0,48122
332,3376333122.0,14235
333,3377981722.0,5413
334,3377981722.0,18690
335,3377981722.0,19073
336,3379631127.0,3906
337,3377980917.0,20392
338,3379630321.0,3789
339,3381280531.0,2628
340,3377978501.0,38089
341,3379627904.0,1412
342,3381278112.0,147
343,3381278112.0,18319
344,3369721014.0,84808
345,3369721014.0,10387
346,3371366385.0,9095
347,3369720211.0,27954
348,3371365582.0,3941
349,3366427060.0,44019
350,3364783297.0,28793
351,3364783297.0,12585
352,3354925537.0,72300
353,3345096655.0,78095
354,3346730002.0,4369
355,3338559277.0,64280
356,3340189432.0,3570
357,3338558481.0,22500
358,3338558481.0,16947
359,3330407706.0,61095
360,3325529181.0,48055
361,3327152974.0,2370
362,3323903802.0,30091
363,3323903802.0,11843
364,3325526801.0,7560
365,3323903009.0,28415
366,3315788014.0,60092
367,3315788014.0,19952
368,3315788014.0,11807
369,3317407051.0,2701
370,3312547570.0,40892
371,3306077754.0,55244
372,3307692049.0,6939
373,3309307133.0,7882
374,3309307133.0,14165
375,3304459517.0,41162
376,3306073022.0,7147
377,3301230143.0,45979
378,3298006287.0,31062
379,3293175225.0,42040
380,3286743245.0,52301
381,3285138390.0,26939
382,3270701751.0,104966
383,3265910685.0,42967
384,3267505367.0,699
385,3262718984.0,42555
386,3264312108.0,9481
387,3265906010.0,2070
388,3264311330.0,25723
389,3264311330.0,16282
390,3264311330.0,13645
391,3262717428.0,24609
392,3254751813.0,68212
393,3253162579.0,25742
394,3253162579.0,16620
395,3248397205.0,44584
396,3242052681.0,52141
397,3243635714.0,3730
398,3238884296.0,44949
399,3237302810.0,28555
400,3230979954.0,52854
401,3232557580.0,7051
402,3229400786.0,38804
403,3229400786.0,16119
404,3226247076.0,35381
405,3224671761.0,29579
406,3221522669.0,34420
407,3223095678.0,8823
408,3224669455.0,425
409,3224669455.0,16749
410,3212073095.0,91363
411,3212073095.0,11485
412,3213641490.0,9346
413,3215210650.0,4908
414,3216780577.0,5455
415,3205785726.0,88210
416,3201089751.0,46196
417,3202652783.0,3296
418,3199525193.0,37805
419,3197962925.0,27834
420,3199524430.0,6366
421,3191713095.0,67975
422,3193271548.0,523
423,3190153120.0,32083
424,3183922356.0,58982
425,3185477005.0,4152
426,3187032413.0,9583
427,3188588581.0,7355
428,3176133157.0,94357
429,3177684003.0,2713
430,3169925988.0,66059
431,3169925988.0,11568
432,3169925988.0,14554
433,3169925988.0,17608
434,3169925988.0,16707
435,3168378173.0,26846
436,3169925232.0,8593
437,3169925232.0,13592
438,3169925232.0,14061
439,3171473047.0,990
440,3171473047.0,16756
441,3159084487.0,91553
442,3160627008.0,2371
443,3162170282.0,4949
444,3162170282.0,10268
445,3162170282.0,14184
446,3154450142.0,62604
447,3149829368.0,42048
448,3149829368.0,16764
449,3146753364.0,32441
450,3146753364.0,17783
451,3148289864.0,5260
452,3149827114.0,5130
453,3151365115.0,6876
454,3151365115.0,19203
455,3151365115.0,11247
456,3152903867.0,5464
457,3152903867.0,12651
458,3154443370.0,6981
459,3154443370.0,13502
460,3149822605.0,45744
461,3151360604.0,6901
462,3152899354.0,385
463,3148280851.0,41187
464,3148280851.0,18744
465,3148280851.0,15473
466,3145206359.0,37289
467,3142134869.0,34847
468,3142134869.0,12593
469,3143669114.0,2437
470,3145204108.0,934
471,3143668364.0,23987
472,3145203358.0,3339
473,3140596129.0,45466
474,3140596129.0,15848
475,3142129623.0,8659
476,3140595381.0,20923
477,3137528395.0,35974
478,3126804423.0,88369
479,3125277664.0,26690
480,3120699622.0,46640
481,3116128285.0,45159
482,3116128285.0,14013
483,3114606738.0,28935
484,3114606738.0,19189
485,3116127542.0,4647
486,3114605996.0,23489
487,3114605996.0,13863
488,3105481178.0,72051
489,3102448482.0,30831
490,3102448482.0,12099
491,3099418748.0,38745
492,3100932136.0,8439
493,3102446263.0,3480
494,3099416531.0,33270
495,3094876373.0,45117
496,3096387543.0,6093
497,3094875636.0,23992
498,3096386805.0,920
499,3097898712.0,8250
500,3093360777.0,42167
501,3094871207.0,2748
502,3096382374.0,7564
503,3085799039.0,82592
504,3087305776.0,3201
505,3085798303.0,23424
506,3087305040.0,2548
507,3088812513.0,3977
508,3090320722.0,5877
509,3090320722.0,10188
510,3091829667.0,9077
511,3093339349.0,1308
512,3094849768.0,9711
513,3096360925.0,2293
514,3093337137.0,36710
515,3090316301.0,34290
516,3082771586.0,64861
517,3084276845.0,2733
518,3085782839.0,3661
519,3087289568.0,4861
520,3084274638.0,31611
521,3085780631.0,3027
522,3084273903.0,25263
523,3085779896.0,3527
524,3087286624.0,3402
525,3088794088.0,7841
526,3081253088.0,68500
527,3082757606.0,1658
528,3081252354.0,20654
529,3075234286.0,52297
530,3076735865.0,3435
531,3076735865.0,11929
532,3072228929.0,40835
533,3073729040.0,9078
534,3072228196.0,24755
535,3073728307.0,5900
536,3075229150.0,9522
537,3075229150.0,14728
538,3073727574.0,22985
539,3075228417.0,8998
540,3076729993.0,3896
541,3076729993.0,19471
542,3078232302.0,6103
543,3078232302.0,13674
544,3078232302.0,11059
545,3079735345.0,55
546,3076727791.0,35516
547,3070718559.0,51306
548,3069219185.0,22100
549,3070717827.0,5661
550,3070717827.0,14651
551,3072217200.0,419
552,3073717306.0,3721
553,3075218144.0,2833
554,3076719715.0,9527
555,3078222019.0,894
556,3079725057.0,945
557,3081228829.0,7431
558,3082733335.0,2504
559,3081228095.0,20083
560,3082732600.0,8165
561,3081227360.0,25209
562,3082731865.0,8649
563,3082731865.0,13738
564,3072195185.0,89538
565,3063194615.0,79597
566,3058707515.0,42410
567,3054226988.0,41228
568,3052735667.0,27462
569,3054226260.0,5158
570,3054226260.0,11220
571,3055717581.0,2517
572,3057209630.0,8051
573,3052731296.0,45864
574,3052731296.0,11061
575,3054221887.0,3665
576,3052730568.0,21228
577,3054221159.0,8677
578,3052729841.0,25423
579,3054220431.0,8866
580,3051237795.0,37963
581,3046768209.0,40584
582,3048255888.0,367
583,3036348640.0,92741
584,3031900864.0,41120
585,3031900864.0,13855
586,3028940024.0,30857
587,3021545154.0,61255
588,3023020517.0,232
589,3018592265.0,41915
590,3017118343.0,29690
591,3012698737.0,49780
592,3014169781.0,3011
593,3014169781.0,11752
594,3006810971.0,65633
595,3005342802.0,29161
596,3006810254.0,8383
597,3003873916.0,35663
598,2999473711.0,48510
599,2992150781.0,60405
600,2993611792.0,6058
601,2989226620.0,49552
602,2990686203.0,1726
603,2989225908.0,27494
604,2990685490.0,622
605,2984844310.0,51617
606,2984844310.0,13082
607,2986301753.0,3898
608,2987759908.0,9593
609,2989218775.0,2764
610,2990678354.0,503
611,2992138646.0,8572
612,2992138646.0,13980
613,2993599651.0,2885
614,2995061369.0,2289
615,2995061369.0,10330
616,2995061369.0,17967
617,2989211641.0,56091
618,2990671216.0,3288
619,2990671216.0,13937
620,2987750640.0,35612
621,2986291778.0,27700
622,2987749928.0,373
623,2976079032.0,93375
624,2977532195.0,6201
625,2978986068.0,5122
626,2980440651.0,215
627,2981895944.0,3094
628,2980439941.0,29637
629,2981895233.0,9754
630,2983351236.0,393
631,2984807950.0,1287
632,2983350525.0,24181
633,2983350525.0,16683
634,2978980383.0,49655
635,2977525803.0,28529
636,2978979673.0,4739
637,2974615936.0,48578
638,2973163487.0,23621
639,2974615226.0,4350
640,2974615226.0,16949
641,2976067674.0,917
642,2976067674.0,16641
643,2977520832.0,1834
644,2968797630.0,77291
645,2967348022.0,25019
646,2968796922.0,3542
647,2970246529.0,3367
648,2970246529.0,10013
649,2971696844.0,4267
650,2971696844.0,17680
651,2973147867.0,7789
652,2974599599.0,9427
653,2973147158.0,21792
654,2974598890.0,6862
655,2974598890.0,15562
656,2965884250.0,79147
657,2967332435.0,2805
658,2964434651.0,38504
659,2961539697.0,30545
660,2960093633.0,21495
661,2961538991.0,9051
662,2960092928.0,22769
663,2960092928.0,18000
664,2960092928.0,17397
665,2957202214.0,31872
666,2958646160.0,7681
667,2960090811.0,9139
668,2961536167.0,4061
669,2962982229.0,9292
670,2962982229.0,10466
671,2964428997.0,2415
672,2961534047.0,31668
673,2960087986.0,23480
674,2961533341.0,9240
675,2962979402.0,1657
676,2961532635.0,27769
677,2962978695.0,2868
678,2964425461.0,4408
679,2965872934.0,2974
680,2961528394.0,47183
681,2961528394.0,10715
682,2961528394.0,16963
683,2962974452.0,3508
684,2964421216.0,3300
685,2958631332.0,58389
686,2958631332.0,12809
687,2957186688.0,28978
688,2957186688.0,17669
689,2954298812.0,38369
690,2954298812.0,12955
691,2951413756.0,31541
692,2952854875.0,9128
693,2952854875.0,14577
694,2954296698.0,7228
695,2948526590.0,50081
696,2948526590.0,19113
697,2935569200.0,108488
698,2937002583.0,738
699,2938436666.0,8079
700,2939871449.0,7887
701,2939871449.0,14018
702,2941306933.0,2048
703,2939870748.0,29440
704,2936999782.0,36514
705,2935565701.0,25271
706,2929832177.0,51114
707,2931262759.0,1100
708,2931262759.0,16158
709,2928400199.0,32219
710,2928400199.0,18220
711,2928400199.0,11158
712,2929830081.0,6704
713,2929830081.0,13155
714,2929830081.0,10809
715,2925538338.0,42394
716,2926966823.0,4367
717,2928396006.0,2355
718,2929825886.0,4527
719,2928395307.0,23111
720,2926965427.0,29388
721,2928394609.0,191
722,2924104969.0,48324
723,2925532754.0,3672
724,2915533380.0,80254
725,2915533380.0,16756
726,2916956980.0,8741
727,2914108390.0,36825
728,2911262582.0,35461
729,2908419554.0,31591
730,2908419554.0,10397
731,2905579302.0,34364
732,2904160563.0,22474
733,2902742516.0,24732
734,2902742516.0,16929
735,2904159870.0,4200
736,2902741824.0,25010
737,2902741824.0,18006
738,2904159178.0,4379
739,2905577224.0,9962
740,2905577224.0,12904
741,2899902272.0,51031
742,2895654371.0,45110
743,2895654371.0,17434
744,2897068264.0,2182
745,2892824512.0,42481
746,2885761957.0,67320
747,2887171020.0,3153
748,2880122265.0,63839
749,2881528574.0,5468
750,2881528574.0,13870
751,2880121578.0,26759
752,2878715269.0,25050
753,2875904025.0,36712
754,2877308275.0,771
755,2871688535.0,55432
756,2868884153.0,32519
757,2864681687.0,40106
758,2859086607.0,52576
759,2860482645.0,6792
760,2861879365.0,8702
761,2861879365.0,10159
762,2863276767.0,4213
763,2863276767.0,13873
764,2864674851.0,2376
765,2863276084.0,22387
766,2861878000.0,22064
767,2863275401.0,5536
768,2856284986.0,66892
769,2857679656.0,4964
770,2857679656.0,14380
771,2859075007.0,7403
772,2859075007.0,18087
773,2859075007.0,13068
774,2860471039.0,892
775,2861867753.0,4751
776,2863265149.0,807
777,2864663227.0,6957
778,2859068183.0,50522
779,2860464212.0,5763
780,2861860923.0,9802
781,2863258316.0,1792
782,2860462166.0,35531
783,2854875326.0,52494
784,2856269308.0,9243
785,2854874646.0,29184
786,2856268627.0,9186
787,2857663289.0,8764
788,2859058632.0,6273
789,2856266584.0,36257
790,2857661245.0,8800
791,2859056587.0,8173
792,2859056587.0,16398
793,2859056587.0,14704
794,2860452610.0,3349
795,2861849315.0,1571
796,2860451928.0,27107
797,2861848633.0,9046
798,2861848633.0,15271
799,2863246020.0,1247
800,2864644089.0,8823
801,2866042840.0,2003
802,2863243972.0,38308
803,2863243972.0,11699
804,2860447836.0,38002
805,2857654430.0,30559
806,2857654430.0,13539
807,2852073074.0,50694
808,2852073074.0,18433
809,2852073074.0,10480
810,2853465687.0,3093
811,2852072394.0,25672
812,2850679781.0,25577
813,2852071714.0,3935
814,2850679101.0,27002
815,2850679101.0,16017
816,2847895235.0,36307
817,2847895235.0,10866
818,2843723516.0,46460
819,2842334980.0,23429
820,2843722838.0,437
821,2831226014.0,100537
822,2820166542.0,96638
823,2820166542.0,11469
824,2818789508.0,25101
825,2816036784.0,34711
826,2816036784.0,12159
827,2816036784.0,17961
828,2817411801.0,6489
829,2817411801.0,19493
830,2817411801.0,11805
831,2817411801.0,14368
832,2816036112.0,21958
833,2817411129.0,4657
834,2818786818.0,2123
835,2818786818.0,12743
836,2811905018.0,65586
837,2811905018.0,15747
838,2813278018.0,3960
839,2811904348.0,24248
840,2810531348.0,28316
841,2810531348.0,13937
842,2806414361.0,40031
843,2807784680.0,2364
844,2806413692.0,29301
845,2807784011.0,7928
846,2809154999.0,7398
847,2810526656.0,9300
848,2805037348.0,55634
849,2805037348.0,18372
850,2806406995.0,3687
851,2807777310.0,2739
852,2800922385.0,62208
853,2799554748.0,22298
854,2800921718.0,3152
855,2802289355.0,1109
856,2802289355.0,11049
857,2803657660.0,3475
858,2802288687.0,23277
859,2803656992.0,2801
860,2805025965.0,701
861,2806395606.0,1019
862,2798173746.0,74706
863,2798173746.0,19983
864,2799540041.0,874
865,2798173079.0,26768
866,2796806784.0,22616
867,2795441156.0,23761
868,2796806117.0,670
869,2795440490.0,23035
870,2794075529.0,25486
871,2795439823.0,967
872,2796804783.0,3952
873,2794073529.0,37727
874,2794073529.0,14817
875,2792709236.0,22869
876,2792709236.0,19385
877,2788618355.0,40118
878,2783171835.0,58857
879,2773659045.0,82710
880,2773659045.0,15337
881,2772304720.0,27946
882,2770951056.0,24203
883,2772304059.0,7979
884,2773657723.0,9578
885,2773657723.0,13237
886,2770949073.0,38515
887,2768243069.0,36573
888,2764188026.0,41946
889,2761488624.0,37552
890,2761488624.0,15223
891,2761488624.0,13908
892,2762837007.0,6583
893,2764186048.0,3241
894,2765535748.0,1516
895,2765535748.0,16308
896,2765535748.0,12565
897,2764185389.0,25057
898,2764185389.0,18181
899,2764185389.0,11849
900,2765535088.0,6502
901,2761484014.0,45692
902,2761484014.0,17185
903,2760135634.0,20954
904,2761483356.0,4879
905,2762831736.0,439
906,2760133660.0,39677
907,2761481381.0,7683
908,2761481381.0,12488
909,2762829760.0,9966
910,2762829760.0,15840
911,2764178797.0,8176
912,2765528493.0,6258
913,2764178138.0,25593
914,2765527834.0,3329
915,2766878189.0,2160
916,2768229203.0,3857
917,2769580877.0,2151
918,2769580877.0,12146
919,2770933211.0,96
920,2770933211.0,16345
921,2770933211.0,19934
922,2772286205.0,6963
923,2772286205.0,15591
924,2773639860.0,2231
925,2773639860.0,11060
926,2773639860.0,13671
927,2772285544.0,24738
928,2773639199.0,4091
929,2773639199.0,13535
930,2765513303.0,74284
931,2766863651.0,7460
932,2768214658.0,2191
933,2768214658.0,16667
934,2766862991.0,20944
935,2764160977.0,37940
936,2761461603.0,36006
937,2760113234.0,22408
938,2758765523.0,23342
939,2760112576.0,592
940,2760112576.0,13165
941,2756069443.0,42093
942,2756069443.0,15569
943,2757415180.0,4126
944,2758761574.0,8915
945,2760108625.0,4810
946,2757413207.0,31208
947,2752027635.0,53608
948,2752027635.0,17050
949,2753371398.0,919
950,2752026979.0,29159
951,2750683216.0,24231
952,2752026323.0,433
953,2752026323.0,10575
954,2752026323.0,18978
955,2752026323.0,18285
956,2753370085.0,901
957,2753370085.0,14636
958,2754714503.0,2642
959,2754714503.0,11385
960,2756059578.0,1379
961,2754713846.0,29948
962,2756058921.0,1527
963,2753367459.0,32314
964,2752023042.0,25487
965,2750679281.0,21598
966,2752022386.0,7786
967,2750678626.0,29695
968,2745306210.0,56640
969,2743965729.0,24343
970,2745305556.0,4562
971,2739943632.0,51059
972,2737267906.0,32633
973,2738604462.0,1321
974,2739941671.0,1292
975,2739941671.0,10835
976,2738603809.0,24734
977,2739941017.0,9704
978,2734589573.0,54853
979,2733254325.0,20547
980,2734588921.0,3882
981,2733253673.0,22755
982,2731919077.0,21831
983,2733253021.0,8468
984,2734587617.0,5322
985,2735922864.0,3120
986,2737258763.0,9878
987,2738595315.0,5139
988,2737258111.0,22601
989,2738594662.0,6387
990,2738594662.0,17470
991,2739931866.0,2377
992,2738594009.0,20955
993,2739931213.0,4764
994,2741269070.0,6280
995,2742607580.0,1074
996,2743946743.0,6806
997,2743946743.0,12185
998,2745286560.0,1625
999,2745286560.0,11783
