round,difficulty
0,1.0
1,1.00048828125
2,1.0009765625
3,1.0014653205871582
4,1.0019540786743164
5,1.002443314064294
6,1.000975607894361
7,1.0014643655154032
8,0.9999980926522767
9,1.0004863729709546
10,1.0009746532896324
11,0.9995093354973501
12,1.0019521675994856
13,0.9985332521619035
14,1.0009736986858142
15,0.9995083822909678
15,0.9995083822909678
16,0.9999961853081913
17,1.0004844646955489
18,0.9990196265334763
18,0.9990196265334763
19,1.001461500305603
20,0.9980440214294397
21,1.0024394900519953
22,0.9990186737941169
23,1.0014605452374914
24,0.9980430696204898
25,1.000482556423783
26,0.9990177210556661
27,0.9995055226772753
27,0.9995055226772753
28,0.9999933242988845
29,1.0004816022892649
30,0.9990167683181239
30,0.9990167683181239
31,1.0014586351040005
32,0.9999923706309346
33,1.0004806481556567
34,1.0009689256803789
35,1.0014576800386212
36,1.0019464343968636
37,1.002435666054284
38,1.0029248977117042
39,1.0014567249741528
40,1.0039043165571258
41,1.0024347100571354
42,1.0048846918662635
43,1.0034136502036755
44,1.005866024573164
45,1.0043935463464524
45,1.0043935463464524
46,1.0068483156127863
46,1.0068483156127863
47,1.0034126932738485
48,1.007831565921002
49,1.0043925884821239
49,1.0043925884821239
50,1.0088157764345966
51,1.0053734406193136
52,1.0078306047779222
53,1.0063552506199183
54,1.0088148143529005
55,1.0073380194193517
56,1.009799985070042
57,1.0063542908847625
57,1.0063542908847625
58,1.0088138522721222
59,1.0073370587469546
60,1.0078286824945126
61,1.0083207863433872
62,1.0088128901922613
63,1.0093054746113006
63,1.0093054746113006
64,1.0097980590303397
65,1.0083198247337506
66,1.0088119281133179
67,1.007335137404909
68,1.009797096011866
69,1.008318863125031
70,1.0107832259884402
71,1.0073341767352606
72,1.0097961329943108
73,1.0083179015172286
74,1.0088100039581835
74,1.0088100039581835
75,1.007333216066528
76,1.009795169977674
77,1.008316939910343
78,1.0088090418819926
79,1.0073322553987119
80,1.0078238768020298
81,1.0083159783043747
81,1.0083159783043747
82,1.0088080798067192
83,1.0093006618769376
84,1.007822915666283
85,1.0102863070545518
86,1.0068387136002026
87,1.009299699332819
88,1.0058554726689524
89,1.0102853435704486
90,1.0068377534039807
91,1.009298736789618
92,1.0058545134104222
93,1.008313093491972
94,1.0068367932086746
95,1.0073284127366087
96,1.0078200322645425
97,1.0083121318896717
98,1.0068358330142841
99,1.0073274520733733
99,1.0073274520733733
100,1.0078190711324622
