round,difficulty,mining_time
0,1.0,0
1,1.0,0
2,1.0,259519
3,1.0,328431
4,1.0,266398
5,1.0,265456
6,1.0,43379
7,1.0,440144
8,1.0,59778
9,1.0,42710
10,1.0,453237
11,1.0,9488
12,1.0,317019
13,1.0,14492
14,1.0,18829
15,1.0,187199
16,1.0,8888
17,1.0,40340
18,1.0,12222
19,1.0,684218
20,1.0,126835
21,1.0,5721
22,1.0,139312
23,1.0,35916
24,1.0,3750815
25,1.0,220195
26,1.0,50143
27,1.0,632037
28,1.0,170925
29,1.0,502130
30,1.0,429216
31,1.0,473577
32,1.0,453052
33,1.0,24528
34,1.0,235296
35,1.0,4280167
36,1.0,261277
37,1.0,25567
38,1.0,7007
39,1.0,84242
40,1.0,158678
41,1.0,749802
42,1.0,9627
43,1.0,24686
44,1.0,144278
45,1.0,231685
46,1.0,128708
47,1.0,117304
48,1.0,19559
49,1.0,230879
50,1.0,4544059
51,1.0,887729
52,1.0,137955
53,1.0,756484
54,1.0,287685
55,1.0,343328
56,1.0,257044
57,1.0,523632
58,1.0,1071
59,1.0,3943718
60,1.0,38722
61,1.0,33504
62,1.0,145208
63,1.0,100342
64,1.0,47590
65,1.0,264222
66,1.0,29735
67,1.0,522309
68,1.0,73637
69,1.0,315570
70,1.0,63332
71,1.0,408097
72,1.0,290073
73,1.0,127023
74,1.0,75539
75,1.0,68050
76,1.0,4375582
77,1.0,215295
78,1.0,391881
79,1.0,17085
80,1.0,816361
81,1.0,154444
82,1.0,178185
83,1.0,21918
84,1.0,95149
85,1.0,248026
86,1.0,894435
87,1.0,373003
88,1.0,4254044
89,1.0,852155
90,1.0,27474
91,1.0,180945
92,1.0,27543
93,1.0,82778
94,1.0,415889
95,1.0,12894
96,1.0,241100
97,1.0,417682
98,1.0,231690
99,1.0,88104
100,1.0,85351
101,1.0,59542
102,1.0,216668
103,1.0,104252
104,1.0,172303
105,1.0,220627
106,1.0,3840989
107,1.0,26080
108,1.0,450951
109,1.0,456587
110,1.0,20138
111,1.0,433262
112,1.0,84032
113,1.0,56245
114,1.0,161127
115,1.0,628144
116,1.0,556391
117,1.0,104477
118,1.0,512036
119,1.0,4297656
120,1.0,33348
121,1.0,437787
122,1.0,131400
123,1.0,113331
124,1.0,555695
125,1.0,1647
126,1.0,89025
127,1.0,729522
128,1.0,366147
129,1.0,4152955
130,1.0,423042
131,1.0,59563
132,1.0,97463
133,1.0,991674
134,1.0,113827
135,1.0,914533
136,1.0,943940
137,1.0,92531
138,1.0,3544
139,1.0,3912669
140,1.0,80264
141,1.0,311574
142,1.0,78502
143,1.0,4807
144,1.0,119003
145,1.0,3692
146,1.0,189754
147,1.0,314
148,1.0,62210
149,1.0,149847
150,1.0,108269
151,1.0,273078
152,1.0,316596
153,1.0,560555
154,1.0,30198
155,1.0,244421
156,1.0,70640
157,1.0,462044
158,1.0,3802149
159,1.0,30106
160,1.0,982906
161,1.0,59694
162,1.0,104653
163,1.0,88026
164,1.0,183341
165,1.0,101127
166,1.0,144873
167,1.0,1177912
168,1.0,4322013
169,1.0,358847
170,1.0,129671
171,1.0,163761
172,1.0,143617
173,1.0,309611
174,1.0,398273
175,1.0,233059
176,1.0,13721
177,1.0,2337
178,1.0,3912758
179,1.0,66048
180,1.0,491128
181,1.0,24979
182,1.0,261726
183,1.0,197802
184,1.0,231817
185,1.0,56735
186,1.0,120642
187,1.0,23253
188,1.0,240210
189,1.0,60497
190,1.0,298373
191,1.0,311576
192,1.0,49848
193,1.0,4084784
194,1.0,83391
195,1.0,214870
196,1.0,512263
197,1.0,251491
198,1.0,582912
199,1.0,518189
200,1.0,347574
201,1.0,536968
202,1.0,44408
203,1.0,3815619
204,1.0,71039
205,1.0,294612
206,1.0,12217
207,1.0,217106
208,1.0,321604
209,1.0,3792793
210,1.0,110472
211,1.0,158397
212,1.0,126033
213,1.0,93366
214,1.0,51139
215,1.0,42558
216,1.0,75042
217,1.0,178161
218,1.0,153608
219,1.0,27055
220,1.0,40705
221,1.0,3873208
222,1.0,458794
223,1.0,896569
224,1.0,380086
225,1.0,82869
226,1.0,109299
227,1.0,337952
228,1.0,298624
229,1.0,281036
230,1.0,425792
231,1.0,477606
232,1.0,63404
233,1.0,3811019
234,1.0,66308
235,1.0,132320
236,1.0,192166
237,1.0,72198
238,1.0,60674
239,1.0,233515
240,1.0,91992
241,1.0,239956
242,1.0,74327
243,1.0,283727
244,1.0,32715
245,1.0,63724
246,1.0,420088
247,1.0,363218
248,1.0,510696
249,1.0,279094
250,1.0,248816
251,1.0,4031306
252,1.0,262137
253,1.0,580862
254,1.0,3941019
255,1.0,95196
256,1.0,169624
257,1.0,152544
258,1.0,126091
259,1.0,5987
260,1.0,3884180
261,1.0,37290
262,1.0,3808080
263,1.0,42044
264,1.0,24849
265,1.0,351353
266,1.0,363815
267,1.0,151672
268,1.0,239249
269,1.0,17661
270,1.0,244476
271,1.0,3944282
272,1.0,26013
273,1.0,124223
274,1.0,96629
275,1.0,131656
276,1.0,803671
277,1.0,43122
278,1.0,955328
279,1.0,17236
280,1.0,336710
281,1.0,54375
282,1.0,193620
283,1.0,462404
284,1.0,69361
285,1.0,89730
286,1.0,4061414
287,1.0,245244
288,1.0,138209
289,1.0,14849
290,1.0,659370
291,1.0,265655
292,1.0,20410
293,1.0,95507
294,1.0,312151
295,1.0,23730
296,1.0,65183
297,1.0,209928
298,1.0,619935
299,1.0,360661
300,1.0,60104
301,1.0,122134
302,1.0,57761
303,1.0,48719
304,1.0,254590
305,1.0,173349
306,1.0,38070
307,1.0,3805537
308,1.0,372764
309,1.0,1079988
310,1.0,431532
311,1.0,621821
312,1.0,5749
313,1.0,213594
314,1.0,14105
315,1.0,362510
316,1.0,219978
317,1.0,3766030
318,1.0,283090
319,1.0,401134
320,1.0,340580
321,1.0,341621
322,1.0,27594
323,1.0,124902
324,1.0,319171
325,1.0,329455
326,1.0,128559
327,1.0,639360
328,1.0,55609
329,1.0,410453
330,1.0,75057
331,1.0,23427
332,1.0,310632
333,1.0,3851143
334,1.0,338767
335,1.0,1129150
336,1.0,7642
337,1.0,16712
338,1.0,183216
339,1.0,198367
340,1.0,403634
341,1.0,159265
342,1.0,302062
343,1.0,482690
344,1.0,4123439
345,1.0,175902
346,1.0,49233
347,1.0,256887
348,1.0,414368
349,1.0,96841
350,1.0,22119
351,1.0,135645
352,1.0,453847
353,1.0,414834
354,1.0,104887
355,1.0,137123
356,1.0,37842
357,1.0,5034089
358,1.0,1401
359,1.0,338324
360,1.0,32156
361,1.0,218377
362,1.0,36384
363,1.0,780405
364,1.0,642978
365,1.0,3799093
