round,difficulty,mining_time
0,1.0,0
1,1.0,0
2,1.0,19447529
3,1.0,8519884
4,1.0,26706363
5,1.0,16279542
6,1.0,17913905
7,1.0,13053850
8,1.0,11639744
9,1.0,8740987
10,1.0,11230207
11,1.0,6156693
12,1.0,34842671
13,1.0,1927095
14,1.0,4994781
15,1.0,19727379
16,1.0,16010665
17,1.0,2587702
18,1.0,18438059
19,1.0,5046810
20,1.0,14458283
21,1.0,25629302
22,1.0,13896852
23,1.0,2555567
24,1.0,10147880
25,1.0,13761944
26,1.0,5190540
27,1.0,10819516
28,1.0,8744169
29,1.0,5402774
30,1.0,5358115
31,1.0,15279266
32,1.0,2778933
33,1.0,18464753
34,1.0,18127940
35,1.0,14363347
36,1.0,2455559
37,1.0,24165022
38,1.0,19716102
39,1.0,15131587
40,1.0,18317143
41,1.0,2228851
42,1.0,11442005
43,1.0,43453423
44,1.0,2738443
45,1.0,29050245
46,1.0,2752540
47,1.0,7780395
48,1.0,34207038
49,1.0,4872079
50,1.0,21103063
51,1.0,6863656
52,1.0,35167976
53,1.0,2627682
54,1.0,46314188
55,1.0,16226446
56,1.0,70317136
57,1.0,3936330
58,1.0,54970049
59,1.0,4222271
60,1.0,2212162
61,1.0,12280732
62,1.0,15070790
63,1.0,41648765
64,1.0,15819428
65,1.0,3639980
66,1.0,12221824
67,1.0,28660914
68,1.0,38280792
69,1.0,8599548
70,1.0,31535274
71,1.0,4345553
72,1.0,40649659
73,1.0,9875514
74,1.0,3633281
75,1.0,12389706
76,1.0,2463024
77,1.0,63870588
78,1.0,41007181
79,1.0,15676753
80,1.0,14845160
81,1.0,6387626
82,1.0,39718324
83,1.0,6259424
84,1.0,35025814
85,1.0,61460824
86,1.0,12706739
87,1.0,2527738
88,1.0,40246756
89,1.0,15638705
90,1.0,14086338
91,1.0,5264538
92,1.0,2156589
93,1.0,30215979
94,1.0,14060587
95,1.0,14058328
96,1.0,84963980
97,1.0,18327160
98,1.0,10779536
99,1.0,20353966
100,1.0,15065066
101,1.0,7368807
102,1.0,32353161
103,1.0,1632480
104,1.0,16460960
105,1.0,10623421
106,1.0,21306293
107,1.0,12603938
108,1.0,4501780
109,1.0,4918482
110,1.0,9177099
111,1.0,2821329
112,1.0,10127098
113,1.0,1909825
114,1.0,3665628
115,1.0,1664101
116,1.0,10285962
117,1.0,7329222
118,1.0,51889602
119,1.0,19508279
120,1.0,3615389
121,1.0,13245103
122,1.0,13656261
123,1.0,16540430
124,1.0,3570253
125,1.0,25043112
126,1.0,29643301
127,1.0,6282463
128,1.0,16694800
129,1.0,15288574
130,1.0,6165374
131,1.0,12121560
132,1.0,29857868
133,1.0,10437208
134,1.0,18717035
135,1.0,26184844
136,1.0,2644918
137,1.0,12369148
138,1.0,38830352
139,1.0,31369018
140,1.0,67533135
141,1.0,3827793
142,1.0,16971957
143,1.0,45766564
144,1.0,30588482
145,1.0,9711517
146,1.0,7468883
147,1.0,13155503
148,1.0,19868656
149,1.0,69057593
150,1.0,19771318
151,1.0,3812378
152,1.0,3090665
153,1.0,5606003
154,1.0,15271514
155,1.0,22488928
156,1.0,7855230
157,1.0,6388043
158,1.0,6721389
159,1.0,6054668
160,1.0,3852231
161,1.0,4326300
162,1.0,5412335
163,1.0,34898058
164,1.0,31578892
165,1.0,2251009
166,1.0,7706193
167,1.0,12327512
168,1.0,19753132
169,1.0,5282979
170,1.0,19939136
171,1.0,58448849
172,1.0,5956489
173,1.0,14199298
174,1.0,19259848
175,1.0,20326893
176,1.0,6651609
177,1.0,97078395
178,1.0,24846448
179,1.0,40319333
180,1.0,5918409
181,1.0,10157660
182,1.0,3772666
183,1.0,29854534
184,1.0,11887088
185,1.0,17512871
186,1.0,3232824
187,1.0,3718409
188,1.0,34192170
189,1.0,10853304
190,1.0,14093725
191,1.0,13994719
192,1.0,3898960
193,1.0,13271956
194,1.0,2347205
195,1.0,5118759
196,1.0,31199820
197,1.0,6518300
198,1.0,16793374
199,1.0,6703721
200,1.0,56774243
201,1.0,12040821
202,1.0,11746970
203,1.0,31130475
204,1.0,1634883
205,1.0,22453796
206,1.0,10862456
207,1.0,9934502
208,1.0,12182047
209,1.0,8255620
210,1.0,4260354
211,1.0,4269592
212,1.0,39803182
213,1.0,18843799
214,1.0,21610758
215,1.0,16424562
216,1.0,5910984
217,1.0,43158159
218,1.0,7138555
219,1.0,28612783
220,1.0,16514508
221,1.0,8286801
222,1.0,2212283
223,1.0,9041637
224,1.0,12981938
225,1.0,2927124
226,1.0,66116964
227,1.0,1799177
228,1.0,3424354
229,1.0,8965510
230,1.0,29335792
231,1.0,37272258
232,1.0,4220587
233,1.0,70012299
234,1.0,2586381
235,1.0,2935910
236,1.0,53960491
237,1.0,7566569
238,1.0,16055479
239,1.0,7990366
240,1.0,18093245
241,1.0,11858677
242,1.0,30115615
243,1.0,16545085
244,1.0,13282520
245,1.0,5499394
246,1.0,43161948
247,1.0,14895894
248,1.0,12317083
249,1.0,15216066
250,1.0,20961320
251,1.0,9911485
252,1.0,10064376
253,1.0,23075993
254,1.0,2101691
255,1.0,24094683
256,1.0,18772536
257,1.0,14126232
258,1.0,25662348
259,1.0,23522681
260,1.0,4830662
261,1.0,8580949
262,1.0,8791243
263,1.0,14523943
264,1.0,51659914
265,1.0,13294447
266,1.0,23955271
267,1.0,5942386
268,1.0,9627973
269,1.0,35234789
270,1.0,8193730
271,1.0,1826163
272,1.0,16406495
273,1.0,7108504
274,1.0,8626923
275,1.0,28749389
276,1.0,22355190
277,1.0,42837039
278,1.0,2047060
279,1.0,6831831
280,1.0,6644190
281,1.0,58837273
282,1.0,12431046
283,1.0,31963777
284,1.0,27590614
285,1.0,21551140
286,1.0,9760225
287,1.0,8530427
288,1.0,17715752
289,1.0,38907633
290,1.0,5532125
291,1.0,14948235
292,1.0,5982244
293,1.0,9508383
294,1.0,12349552
295,1.0,66028526
296,1.0,6061596
297,1.0,32008089
298,1.0,4659802
299,1.0,11875721
300,1.0,5557681
301,1.0,5810923
302,1.0,32583028
303,1.0,39024857
304,1.0,45721048
305,1.0,6412653
306,1.0,23793210
307,1.0,25161459
308,1.0,2806606
309,1.0,14771838
310,1.0,28103714
311,1.0,3073795
312,1.0,27858009
313,1.0,7828101
314,1.0,33328520
315,1.0,5818805
316,1.0,51264090
317,1.0,21032148
318,1.0,3755257
319,1.0,7325455
320,1.0,15417415
321,1.0,5439669
322,1.0,19441967
323,1.0,9283094
324,1.0,40156904
325,1.0,10528535
326,1.0,17290019
327,1.0,40073370
328,1.0,8580428
329,1.0,4916442
330,1.0,60684279
331,1.0,21645208
332,1.0,34170442
