round,difficulty,mining_time
0,1.0,0
1,1.0,0
2,1.0,37610
3,1.0,65673
4,1.0,25296
5,1.0,39900
6,1.0,283844
7,1.0,111317
8,1.0,71456
9,1.0,137472
10,1.0,331878
11,1.0,145181
12,1.0,81908
13,1.0,16590
14,1.0,95332
15,1.0,22034
16,1.0,258038
17,1.0,78241
18,1.0,20634
19,1.0,9256
20,1.0,109846
21,1.0,30740
22,1.0,107479
23,1.0,67195
24,1.0,181942
25,1.0,44204
26,1.0,49252
27,1.0,62842
28,1.0,126378
29,1.0,91357
30,1.0,39213
31,1.0,190946
32,1.0,32161
33,1.0,16563
34,1.0,37420
35,1.0,26524
36,1.0,30721
37,1.0,84602
38,1.0,93300
39,1.0,96055
40,1.0,132730
41,1.0,194198
42,1.0,7532
43,1.0,89289
44,1.0,252306
45,1.0,244223
46,1.0,43565
47,1.0,11182
48,1.0,316
49,1.0,195241
50,1.0,95750
51,1.0,122260
52,1.0,56185
53,1.0,120259
54,1.0,151982
55,1.0,97382
56,1.0,44740
57,1.0,71313
58,1.0,135955
59,1.0,94229
60,1.0,60686
61,1.0,126791
62,1.0,123957
63,1.0,9205
64,1.0,177542
65,1.0,51189
66,1.0,19873
67,1.0,104799
68,1.0,24507
69,1.0,25546
70,1.0,62936
71,1.0,44978
72,1.0,401914
73,1.0,21277
74,1.0,13470
75,1.0,27731
76,1.0,126611
77,1.0,37122
78,1.0,107165
79,1.0,100
80,1.0,21009
81,1.0,70068
82,1.0,25940
83,1.0,103082
84,1.0,156638
85,1.0,7666
86,1.0,151437
87,1.0,13629
88,1.0,54056
89,1.0,20786
90,1.0,1614
91,1.0,185517
92,1.0,71660
93,1.0,21507
94,1.0,66894
95,1.0,48542
96,1.0,11824
97,1.0,109692
98,1.0,62863
99,1.0,62968
100,1.0,113782
101,1.0,28583
102,1.0,108761
103,1.0,139048
104,1.0,15346
105,1.0,116980
106,1.0,221569
107,1.0,77346
108,1.0,194087
109,1.0,16908
110,1.0,24293
111,1.0,56206
112,1.0,9450
113,1.0,175149
114,1.0,63098
115,1.0,17061
116,1.0,42275
117,1.0,106884
118,1.0,278
119,1.0,68010
120,1.0,45892
121,1.0,12964
122,1.0,26452
123,1.0,15093
124,1.0,50531
125,1.0,30175
126,1.0,138748
127,1.0,61775
128,1.0,82034
129,1.0,352844
130,1.0,129917
131,1.0,132138
132,1.0,80015
133,1.0,10718
134,1.0,49742
135,1.0,8852
136,1.0,60054
137,1.0,166422
138,1.0,24537
139,1.0,15260
140,1.0,22484
141,1.0,62722
142,1.0,36173
143,1.0,110622
144,1.0,11465
145,1.0,104523
146,1.0,62117
147,1.0,48309
148,1.0,16626
149,1.0,29401
150,1.0,48810
151,1.0,56652
152,1.0,322807
153,1.0,51457
154,1.0,35742
155,1.0,201856
156,1.0,117982
157,1.0,49175
158,1.0,171630
159,1.0,221223
160,1.0,90215
161,1.0,7501
162,1.0,12966
163,1.0,18433
164,1.0,8307
165,1.0,143401
166,1.0,68916
167,1.0,27302
168,1.0,49676
169,1.0,49423
170,1.0,94767
171,1.0,79061
172,1.0,46004
173,1.0,26194
174,1.0,15664
175,1.0,30609
176,1.0,112930
177,1.0,28791
178,1.0,68342
179,1.0,64898
180,1.0,83832
181,1.0,23428
182,1.0,6942
183,1.0,19366
184,1.0,69932
185,1.0,135531
186,1.0,176930
187,1.0,123367
188,1.0,76374
189,1.0,246854
190,1.0,47001
191,1.0,134424
192,1.0,69146
193,1.0,11321
194,1.0,36931
195,1.0,200287
196,1.0,7585
197,1.0,86634
198,1.0,73076
199,1.0,51034
200,1.0,30970
201,1.0,9536
202,1.0,112907
203,1.0,153053
204,1.0,70781
205,1.0,120393
206,1.0,41972
207,1.0,60909
208,1.0,50685
209,1.0,55712
210,1.0,7035
211,1.0,14544
212,1.0,6398
213,1.0,64059
214,1.0,278969
215,1.0,11550
216,1.0,166413
217,1.0,29509
218,1.0,7596
219,1.0,26321
220,1.0,139312
221,1.0,104205
222,1.0,52723
223,1.0,128960
224,1.0,37488
225,1.0,128182
226,1.0,84297
227,1.0,86035
228,1.0,21349
229,1.0,27912
230,1.0,12041
231,1.0,59977
232,1.0,64984
233,1.0,32196
234,1.0,108405
235,1.0,192506
236,1.0,97047
237,1.0,69060
238,1.0,58180
239,1.0,629440
240,1.0,25602
241,1.0,59093
242,1.0,9703
243,1.0,43804
244,1.0,58391
245,1.0,306903
246,1.0,231413
247,1.0,200023
248,1.0,190818
249,1.0,406298
250,1.0,7825
251,1.0,69277
252,1.0,203312
253,1.0,64628
254,1.0,92905
255,1.0,156040
256,1.0,30057
257,1.0,46608
258,1.0,77897
259,1.0,106780
260,1.0,91563
261,1.0,17658
262,1.0,48637
263,1.0,92469
264,1.0,24373
265,1.0,70994
266,1.0,66134
267,1.0,40938
268,1.0,52617
269,1.0,40992
270,1.0,162366
271,1.0,73202
272,1.0,16753
273,1.0,113669
274,1.0,170404
275,1.0,46707
276,1.0,48313
277,1.0,179739
278,1.0,14813
279,1.0,34698
280,1.0,14058
281,1.0,94042
282,1.0,38010
283,1.0,8977
284,1.0,7856
285,1.0,24068
286,1.0,63014
287,1.0,63000
288,1.0,206466
289,1.0,7454
290,1.0,84618
291,1.0,35733
292,1.0,97357
293,1.0,49164
294,1.0,117898
295,1.0,39115
296,1.0,74602
297,1.0,32599
298,1.0,176584
299,1.0,41127
300,1.0,52350
301,1.0,52831
302,1.0,114623
303,1.0,14103
304,1.0,242430
305,1.0,90731
306,1.0,17458
307,1.0,141431
308,1.0,76064
309,1.0,183619
310,1.0,20430
311,1.0,79476
312,1.0,19160
313,1.0,260914
314,1.0,61039
315,1.0,161714
316,1.0,268220
317,1.0,15591
318,1.0,83183
319,1.0,254083
320,1.0,23787
321,1.0,121954
322,1.0,7458
323,1.0,7508
324,1.0,8155
325,1.0,151369
326,1.0,38704
327,1.0,331710
328,1.0,62169
329,1.0,47723
330,1.0,14624
331,1.0,13171
332,1.0,5428
333,1.0,5032
334,1.0,6497
335,1.0,18194
336,1.0,147696
337,1.0,20234
338,1.0,138066
339,1.0,9703
340,1.0,92391
341,1.0,54385
342,1.0,218540
343,1.0,26191
344,1.0,138628
345,1.0,24858
346,1.0,71572
347,1.0,43286
348,1.0,92535
349,1.0,68327
350,1.0,138322
351,1.0,88445
352,1.0,176620
353,1.0,21325
354,1.0,120285
355,1.0,223184
356,1.0,106789
357,1.0,91177
358,1.0,86435
359,1.0,69154
360,1.0,27970
361,1.0,41112
362,1.0,128800
363,1.0,60415
364,1.0,257470
365,1.0,75278
366,1.0,172868
367,1.0,259318
368,1.0,71400
369,1.0,42693
