round,difficulty
0,1.0
2000,0.9947829242370944
4000,1.0170149091363874
6000,1.0000262924753465
8000,0.9577492072502548
10000,0.9780241699052818
12000,0.9986883577866834
14000,0.9818038740254789
16000,1.0451698582170128
18000,1.0111987573090657
20000,0.9919813457335984
22000,1.0141955445793163
24000,1.0067849154370703
26000,1.0254627146861708
28000,1.0189784377551776
30000,0.996144402364257
32000,1.0002858935514725
34000,0.9902073477955116
36000,0.9942135270602445
38000,0.972639442388866
40000,0.9744982018833019
42000,1.0151790744770333
44000,1.0368400834266978
46000,1.0359635624262555
48000,1.0260811440595605
50000,1.0293059028413378
52000,0.9931720364137877
54000,0.9816739156250719
56000,1.035675546384545
58000,0.9950535379661918
60000,0.9943751189121465
62000,0.9716867602015087
64000,0.9800231449631701
66000,1.0281793119366085
68000,1.0106427087155612
70000,1.0328427812172478
72000,1.0126861619231364
74000,0.9925492588705925
76000,0.9772442458388126
78000,1.0187621952254546
80000,1.0059376230496786
82000,1.0171507222789782
84000,1.012541635286508
86000,0.9688642916076963
88000,1.0265388381307112
90000,1.0117602293036452
92000,1.0224985689201949
94000,0.9800167129778062
96000,1.0014972337575612
98000,1.0283627073020383
100000,1.025373800777288
102000,1.0413109203654707
104000,0.9809714028902163
106000,0.9970842241270562
108000,1.005124902545052
110000,1.000133672941881
112000,0.997499552598345
114000,1.0103206521741863
116000,1.0491469700334584
118000,1.004125996117292
120000,1.0208606309594712
122000,0.9935055831832779
124000,1.0148037722799852
126000,1.055364895372903
128000,1.025449365329537
130000,1.0080080333306576
132000,1.0247146340287445
134000,1.0030180775075999
136000,0.9772808575772396
138000,0.984520082146836
140000,0.986716938339864
142000,1.0218456236036633
144000,1.0086925584378585
146000,0.9684717452684093
148000,1.0042628662259816
150000,1.017092577092999
152000,0.9950485014529653
154000,1.0279803806434744
156000,0.9863348949930271
158000,0.9956594004350243
160000,0.9882065753780463
162000,0.9913981885233505
164000,1.0425221526223538
166000,0.9856519520803637
168000,0.9963974551272211
170000,0.9899324144144871
172000,1.014879978381055
174000,1.0190336955954615
176000,0.9890206475501556
178000,0.97012098575992
180000,1.013072663959274
182000,1.0121494402818996
184000,1.001808124807515
186000,0.999688630791573
188000,1.0085248439032404
190000,0.992090759607777
192000,1.010808216280247
194000,0.9646054588074712
196000,0.9883818861537184
198000,1.0155456356519588
200000,1.0077814230263404
