strategy,lambda_delta,attacker_percent,honest_hashrate_percent,stale_rate,honest_only_stale_rate,attacker_only_stale_rate
selfish_timewarp,316.22776601683796,49.8,50.2,0.4997518610421836,0.0,1.0
selfish_timewarp,100.0,49.8,50.2,0.4987568373943312,0.0,1.0
selfish_timewarp,31.622776601683793,49.7,50.3,0.4996276991809382,0.060515873015873016,1.0
selfish_timewarp,10.0,49.7,50.3,0.5,0.8273809523809523,0.23888055972013994
selfish_timewarp,3.1622776601683795,49.6,50.4,0.4986321810494902,0.8392059553349875,0.2731006160164271
selfish_timewarp,1.0,49.6,50.4,0.4933400351847198,0.9051422865701447,0.06531881804043546
selfish_timewarp,0.31622776601683794,49.4,50.6,0.48884381338742394,0.9162462159434914,0.04065040650406504
selfish_timewarp,0.1,49.6,50.4,0.49193548387096775,0.9662298387096774,0.01015744032503809
selfish_timewarp,0.03162277660168379,49.6,50.4,0.49206349206349204,0.9692849949647533,0.008213552361396304
selfish_timewarp,0.01,49.4,50.6,0.49013657056145676,0.964771011575239,0.00808080808080808
selfish_timewarp,0.0031622776601683794,49.7,50.3,0.49850746268656715,0.9965174129353234,0.001996007984031936
timewarp,316.22776601683796,49.8,50.2,0.5,1.0,0.0
timewarp,100.0,50.0,50.0,0.4957478739369685,0.3548707753479125,0.6716269841269841
timewarp,31.622776601683793,52.4,47.6,0.47390396659707723,0.9627363737486095,0.03884462151394422
timewarp,10.0,66.6,33.400000000000006,0.33089943577829406,0.9846005774783445,0.005973120955699353
timewarp,3.1622776601683795,80.6,19.400000000000006,0.1814859926918392,0.8826086956521739,0.011066398390342052
timewarp,1.0,85.6,14.400000000000006,0.08446866485013624,0.5155807365439093,0.009533898305084746
timewarp,0.31622776601683794,87.6,12.400000000000006,0.029836381135707413,0.21978021978021978,0.0033130866924351186
timewarp,0.1,88.2,11.799999999999997,0.009823182711198428,0.07251908396946564,0.0011142061281337048
timewarp,0.03162277660168379,89.1,10.900000000000006,0.002967359050445104,0.02336448598130841,0.0005458515283842794
timewarp,0.01,88.6,11.400000000000006,0.0009910802775024777,0.008298755186721992,0.0
timewarp,0.0031622776601683794,89.0,11.0,0.0004957858205255329,0.0,0.0
